Latitude Position,Longitude Position ,Datetime
3.025965,101.6149833,03-09-21 5:14
3.0259216,101.6149116,03-09-21 5:14
3.02594,101.6149233,03-09-21 5:14
3.0259599,101.6148883,03-09-21 5:14
3.025895,101.6147483,03-09-21 5:13
3.02598,101.6149433,03-09-21 5:12
3.0259749,101.6149366,03-09-21 5:12
3.025965,101.6149383,03-09-21 5:12
3.0259483,101.6149183,03-09-21 5:12
3.0259583,101.614955,03-09-21 5:11
3.02598,101.61502,03-09-21 5:11
3.02602,101.61511,03-09-21 5:11
3.0258833,101.6148133,03-09-21 5:11
3.0258833,101.6148133,03-09-21 5:11
3.0258833,101.6148133,03-09-21 5:11
3.0258833,101.6148133,03-09-21 5:10
3.026,101.6149516,03-09-21 5:09
3.02603,101.6149683,03-09-21 5:09
3.0259966,101.615,03-09-21 5:09
3.0259733,101.6149749,03-09-21 5:09
3.0259116,101.6148316,03-09-21 5:09
3.0259366,101.6149216,03-09-21 5:09
3.0259366,101.61492,03-09-21 5:08
3.0259333,101.6148983,03-09-21 5:08
3.0259383,101.61493,03-09-21 5:08
3.0259749,101.6149533,03-09-21 5:08
3.0259183,101.6148216,03-09-21 5:08
3.0259183,101.6148216,03-09-21 5:07
3.0259183,101.6148216,03-09-21 5:07
3.0259566,101.6148849,03-09-21 5:07
3.0258933,101.6147816,03-09-21 5:02
3.0258933,101.6147816,03-09-21 5:01
3.0258933,101.6147816,03-09-21 5:01
3.0258933,101.6147816,03-09-21 5:01
3.0258933,101.6147816,03-09-21 5:00
3.0258933,101.6147816,03-09-21 5:00
3.0258933,101.6147816,03-09-21 4:59
3.0258933,101.6147816,03-09-21 4:59
3.0258933,101.6147816,03-09-21 4:59
3.0259066,101.6147766,03-09-21 4:58
3.0259516,101.6147816,03-09-21 4:39
3.0259516,101.6148183,03-09-21 4:39
3.0259216,101.61484,03-09-21 4:39
3.0259433,101.6146566,03-09-21 4:38
3.0259733,101.6146933,03-09-21 4:38
3.0259583,101.6147683,03-09-21 4:38
3.0259466,101.61481,03-09-21 4:37
3.02595,101.6148866,03-09-21 4:37
3.0259133,101.6147716,03-09-21 4:36
3.0259366,101.6148783,03-09-21 4:35
3.0259366,101.6148783,03-09-21 4:34
3.0259366,101.6148783,03-09-21 4:33
3.025935,101.61491,03-09-21 4:33
3.025935,101.61491,03-09-21 4:32
3.0259433,101.61486,03-09-21 4:31
3.0259783,101.6148716,03-09-21 4:30
3.0259866,101.6149333,03-09-21 4:30
3.02591,101.6148449,03-09-21 4:25
3.02591,101.6148449,03-09-21 4:25
3.02591,101.6148449,03-09-21 4:25
3.02591,101.6148449,03-09-21 4:23
3.02591,101.6148449,03-09-21 4:23
3.0259183,101.61484,03-09-21 4:22
3.0259733,101.61488,03-09-21 4:16
3.0259733,101.61488,03-09-21 4:16
3.0259766,101.614895,03-09-21 4:16
3.025965,101.6148783,03-09-21 4:16
3.0259516,101.61487,03-09-21 4:15
3.0259733,101.6148883,03-09-21 4:15
3.0259916,101.6148883,03-09-21 4:15
3.025905,101.6148716,03-09-21 4:10
3.0258966,101.6148533,03-09-21 4:10
3.0258583,101.6148033,03-09-21 4:09
3.0258583,101.6148033,03-09-21 4:09
3.0259033,101.6147866,03-09-21 4:05
3.0259433,101.6148016,03-09-21 4:04
3.0259033,101.61491,03-09-21 4:04
3.025935,101.6149183,03-09-21 4:03
3.02597,101.6149116,03-09-21 4:03
3.0259666,101.614905,03-09-21 4:03
3.0259283,101.61483,03-09-21 4:03
3.0259533,101.6149033,03-09-21 4:03
3.0259766,101.61491,03-09-21 4:02
3.025965,101.6148966,03-09-21 4:02
3.0259316,101.6147883,03-09-21 4:02
3.0259316,101.6147883,03-09-21 4:02
3.0259316,101.6147883,03-09-21 4:01
3.0259316,101.6147883,03-09-21 4:00
3.0259316,101.6147883,03-09-21 4:00
3.0259316,101.6147883,03-09-21 4:00
3.0259316,101.6147883,03-09-21 4:00
3.0259316,101.6147883,03-09-21 3:59
3.0259316,101.6147883,03-09-21 3:58
3.0259316,101.6147883,03-09-21 3:58
3.0259633,101.6149033,03-09-21 3:56
3.0259733,101.61499,03-09-21 3:50
3.0259733,101.61499,03-09-21 3:49
3.0257933,101.6148549,27-08-21 12:55
3.0257983,101.6148616,27-08-21 12:55
3.0258883,101.6148933,27-08-21 12:55
3.0258383,101.61485,27-08-21 12:55
3.0258533,101.61483,27-08-21 12:54
3.0259566,101.6149116,27-08-21 12:54
3.0261166,101.6151016,27-08-21 12:54
3.0260783,101.6149716,27-08-21 12:54
3.0258666,101.6149783,27-08-21 12:54
3.025855,101.61498,27-08-21 12:54
3.0257816,101.6148916,27-08-21 12:54
3.0258283,101.6148633,27-08-21 12:53
3.025855,101.6149016,27-08-21 12:53
3.0258266,101.6148466,27-08-21 12:53
3.0258283,101.61483,27-08-21 12:53
3.0258466,101.6147066,27-08-21 12:52
3.0259033,101.6148683,27-08-21 12:51
3.026095,101.6150733,27-08-21 12:47
3.0260066,101.6149866,27-08-21 12:47
3.02598,101.6149433,27-08-21 12:47
3.026055,101.6150266,27-08-21 12:47
3.0260783,101.6149833,27-08-21 12:47
3.0260316,101.6149133,27-08-21 12:46
3.02604,101.6149916,27-08-21 12:46
3.025985,101.6149399,27-08-21 12:46
3.0260083,101.6149833,27-08-21 12:46
3.0259599,101.6150216,27-08-21 12:46
3.0259733,101.6149983,27-08-21 12:46
3.0259916,101.6150416,27-08-21 12:45
3.0260016,101.6149399,27-08-21 12:45
3.0260383,101.6150566,27-08-21 12:40
3.0259683,101.6149266,27-08-21 12:40
3.0260183,101.6150083,27-08-21 12:40
3.0260849,101.6150383,27-08-21 12:40
3.0260933,101.61513,27-08-21 12:40
3.0259766,101.6148233,27-08-21 12:40
3.02606,101.615,27-08-21 12:39
3.02603,101.614905,27-08-21 12:39
3.02603,101.614905,27-08-21 12:39
3.02603,101.614905,27-08-21 12:39
3.0259883,101.61487,27-08-21 12:39
3.02594,101.6149166,27-08-21 12:38
3.0259283,101.61498,27-08-21 12:38
3.026045,101.6149233,27-08-21 12:38
3.0260116,101.6150049,27-08-21 12:38
3.0259599,101.61493,27-08-21 12:38
3.0259933,101.6149916,27-08-21 12:38
3.0259416,101.6149816,27-08-21 12:37
3.025935,101.61496,27-08-21 12:37
3.0259966,101.6149449,27-08-21 12:37
3.0259583,101.6149633,27-08-21 12:37
3.0527149,101.5998683,27-08-21 11:51
3.0527149,101.5998683,27-08-21 11:51
3.05274,101.5998183,27-08-21 11:51
3.0527716,101.5997183,27-08-21 11:51
3.05245,101.6003433,27-08-21 11:51
3.05245,101.6003433,27-08-21 11:50
3.05245,101.6003433,27-08-21 11:50
3.05245,101.6003433,27-08-21 11:49
3.0525666,101.6001033,27-08-21 11:48
3.0525666,101.6001033,27-08-21 11:47
3.0525383,101.600115,27-08-21 11:45
3.0525283,101.60014,27-08-21 11:45
3.0524816,101.6002366,27-08-21 11:45
3.0524816,101.6002366,27-08-21 11:44
3.05252,101.6002549,27-08-21 11:44
3.05252,101.6002549,27-08-21 11:44
3.05252,101.6002549,27-08-21 11:43
3.05252,101.6002549,27-08-21 11:43
3.05252,101.6002549,27-08-21 11:42
3.0524983,101.60024,27-08-21 11:41
3.0524983,101.60024,27-08-21 11:41
3.0524983,101.60024,27-08-21 11:41
3.0525066,101.6001316,27-08-21 11:41
3.05246,101.6004533,27-08-21 11:40
3.05246,101.6004533,27-08-21 11:40
3.05246,101.6004533,27-08-21 11:39
3.05246,101.6004533,27-08-21 11:39
3.05246,101.6004533,27-08-21 11:38
3.05246,101.6004533,27-08-21 11:37
3.0525066,101.6003016,27-08-21 11:37
3.0525066,101.6003016,27-08-21 11:36
3.0525216,101.6003916,27-08-21 11:36
3.0524816,101.6004583,27-08-21 11:36
3.0525849,101.6009316,27-08-21 11:35
3.0525283,101.6003533,27-08-21 11:35
3.0525283,101.6003533,27-08-21 11:34
3.0525283,101.6003533,27-08-21 11:34
3.0525283,101.6003533,27-08-21 11:33
3.0525283,101.6003533,27-08-21 11:33
3.052555,101.6007366,27-08-21 11:32
3.0525299,101.6009133,27-08-21 11:32
3.0525483,101.6010216,27-08-21 11:32
3.052555,101.6002766,27-08-21 11:32
3.052555,101.6002766,27-08-21 11:31
3.052555,101.6002766,27-08-21 11:31
3.052555,101.6002766,27-08-21 11:31
3.052555,101.6002766,27-08-21 11:30
3.052555,101.6002766,27-08-21 11:30
3.052555,101.6002766,27-08-21 11:29
3.052555,101.6002766,27-08-21 11:29
3.0524866,101.6002183,27-08-21 11:29
3.0524866,101.6002183,27-08-21 11:28
3.0525566,101.6002249,27-08-21 11:28
3.05256,101.6003283,27-08-21 11:28
3.0524999,101.6000883,27-08-21 11:27
3.0524999,101.6000883,27-08-21 11:26
3.0524999,101.6000883,27-08-21 11:26
3.0524999,101.6000883,27-08-21 11:26
3.0524999,101.6000883,27-08-21 11:25
3.0524999,101.6000883,27-08-21 11:25
3.0524999,101.6000883,27-08-21 11:23
3.0524999,101.6000883,27-08-21 11:23
3.0525016,101.6000916,27-08-21 11:22
3.0525849,101.6000216,27-08-21 11:22
3.0526116,101.5999933,27-08-21 11:22
3.0525133,101.6002183,27-08-21 11:22
3.0525283,101.6001249,27-08-21 11:21
3.0525283,101.6001249,27-08-21 11:21
3.0525283,101.6001249,27-08-21 11:21
3.0525283,101.6001249,27-08-21 11:20
3.0525283,101.6001249,27-08-21 11:20
3.0525283,101.6001249,27-08-21 11:19
3.0525283,101.6001249,27-08-21 11:19
3.0525283,101.6001249,27-08-21 11:19
3.0525283,101.6001249,27-08-21 11:18
3.0525233,101.6002933,27-08-21 11:13
3.0523783,101.6005016,27-08-21 11:12
3.0525149,101.600105,27-08-21 11:11
3.052565,101.5998666,27-08-21 11:11
3.0525083,101.600325,27-08-21 11:07
3.0525333,101.6001183,27-08-21 11:06
3.0525133,101.6001616,27-08-21 11:06
3.0524833,101.6002433,27-08-21 11:05
3.0525283,101.6002333,27-08-21 11:04
3.0525066,101.6003149,27-08-21 11:03
3.052485,101.6004666,27-08-21 11:03
3.0525483,101.6004016,27-08-21 11:02
3.0526083,101.6004866,27-08-21 11:01
3.0525783,101.600635,27-08-21 11:01
3.0523433,101.6000033,27-08-21 11:01
3.0525149,101.6005966,27-08-21 11:01
3.0523716,101.6002716,27-08-21 11:00
3.0523716,101.6002716,27-08-21 11:00
3.0523716,101.6002716,27-08-21 10:59
3.0523716,101.6002716,27-08-21 10:59
3.0523633,101.6002766,27-08-21 10:59
3.0523183,101.6002666,27-08-21 10:59
3.0523183,101.6002666,27-08-21 10:58
3.0522783,101.6002866,27-08-21 10:58
3.0522783,101.6002866,27-08-21 10:58
3.0522966,101.6003016,27-08-21 10:58
3.0523783,101.6003116,27-08-21 10:58
3.052395,101.6002933,27-08-21 10:58
3.05243,101.6002116,27-08-21 10:57
3.052635,101.6003049,27-08-21 10:48
3.052615,101.6003016,27-08-21 10:48
3.0525333,101.6008016,27-08-21 10:48
3.0525516,101.6005183,27-08-21 10:47
3.0525516,101.6005183,27-08-21 10:47
3.0525516,101.6005183,27-08-21 10:47
3.0525516,101.6005183,27-08-21 10:46
3.0525516,101.6005183,27-08-21 10:46
3.0525516,101.6005183,27-08-21 10:46
3.0525516,101.6005183,27-08-21 10:45
3.0525516,101.6005183,27-08-21 10:45
3.0525516,101.6005183,27-08-21 10:44
3.0525516,101.6005183,27-08-21 10:44
3.0525516,101.6005183,27-08-21 10:44
3.0525516,101.6005183,27-08-21 10:43
3.0525516,101.6005183,27-08-21 10:43
3.0525383,101.6006749,27-08-21 10:43
3.0525383,101.6007116,27-08-21 10:43
3.0525433,101.6006083,27-08-21 10:42
3.052525,101.6005366,27-08-21 10:42
3.05258,101.6004533,27-08-21 10:42
3.05271,101.5998766,27-08-21 10:42
3.05271,101.5998766,27-08-21 10:41
3.05271,101.5998766,27-08-21 10:41
3.05271,101.5998766,27-08-21 10:41
3.05271,101.5998766,27-08-21 10:40
3.05271,101.5998766,27-08-21 10:40
3.05271,101.5998766,27-08-21 10:40
3.05271,101.5998766,27-08-21 10:39
3.05271,101.5998766,27-08-21 10:39
3.05271,101.5998766,27-08-21 10:38
3.05271,101.5998766,27-08-21 10:38
3.05271,101.5998766,27-08-21 10:38
3.05271,101.5998766,27-08-21 10:37
3.05271,101.5998766,27-08-21 10:37
3.05271,101.5998766,27-08-21 10:37
3.05271,101.5998766,27-08-21 10:36
3.05271,101.5998766,27-08-21 10:36
3.05271,101.5998766,27-08-21 10:35
3.05271,101.5998766,27-08-21 10:35
3.05271,101.5998766,27-08-21 10:34
3.05271,101.5998766,27-08-21 10:34
3.05271,101.5998766,27-08-21 10:34
3.05271,101.5998766,27-08-21 10:33
3.05271,101.5998766,27-08-21 10:33
3.05271,101.5998766,27-08-21 10:32
3.05271,101.5998766,27-08-21 10:32
3.0525766,101.6003383,27-08-21 10:30
3.0525766,101.6003383,27-08-21 10:30
3.0525766,101.6003383,27-08-21 10:29
3.0526016,101.60036,27-08-21 10:29
3.0527333,101.6003383,27-08-21 10:29
3.052635,101.60033,27-08-21 10:29
3.0525116,101.6003066,27-08-21 10:28
3.052495,101.6003683,27-08-21 10:28
3.0524216,101.6003,27-08-21 10:28
3.0522516,101.60039,27-08-21 10:28
3.0522216,101.6004899,27-08-21 10:28
3.0522116,101.6004366,27-08-21 10:28
3.052305,101.6002383,27-08-21 10:27
3.05285,101.5996033,27-08-21 10:27
3.0529316,101.5995916,27-08-21 10:27
3.0523933,101.6012066,27-08-21 10:27
3.0523933,101.6012066,27-08-21 10:27
3.0523933,101.6012066,27-08-21 10:26
3.0523933,101.6012066,27-08-21 10:26
3.0523933,101.6012066,27-08-21 10:25
3.0523933,101.6012066,27-08-21 10:25
3.0523933,101.6012066,27-08-21 10:25
3.0523933,101.6012066,27-08-21 10:19
3.0523933,101.6012066,27-08-21 10:19
3.0523933,101.6012066,27-08-21 10:19
3.0523933,101.6012066,27-08-21 10:16
3.0524516,101.6012566,27-08-21 10:15
3.05232,101.6010116,27-08-21 10:14
3.0522183,101.6012166,27-08-21 10:14
3.0523216,101.6010366,27-08-21 10:14
3.0522233,101.6009433,27-08-21 10:14
3.0527116,101.5998416,27-08-21 10:14
3.0527116,101.5998416,27-08-21 10:09
3.0527116,101.5998416,27-08-21 10:09
3.0527116,101.5998416,27-08-21 10:08
3.0527116,101.5998416,27-08-21 10:08
3.0527116,101.5998416,27-08-21 10:08
3.0527116,101.5998416,27-08-21 10:08
3.0527116,101.5998416,27-08-21 10:07
3.0527116,101.5998416,27-08-21 10:07
3.0527116,101.5998416,27-08-21 10:07
3.0527116,101.5998416,27-08-21 10:06
3.052785,101.600835,27-08-21 9:57
3.052785,101.600835,27-08-21 9:57
3.052785,101.600835,27-08-21 9:56
3.052785,101.600835,27-08-21 9:56
3.0527733,101.6008583,27-08-21 9:56
3.05271,101.6004816,27-08-21 9:56
3.052745,101.6002033,27-08-21 9:55
3.0528049,101.5997616,27-08-21 9:55
3.0528049,101.5997616,27-08-21 9:55
3.0525916,101.5993799,27-08-21 9:54
3.0525916,101.5993799,27-08-21 9:54
